id,name,state,segment,since
1,Clearwater Ag Supply LLC,TX,dealer,2019-08-01
2,Twin Rivers Ag Supply Co.,CA,co-op,2018-05-30
3,Clearwater Ag Partners Inc.,FL,dealer,2012-01-27
4,Summit Equipment Co.,NY,fleet,2012-07-22
5,Sunbelt Tractor LLC,FL,co-op,2012-07-05
6,Palmetto Farm Machinery Group,TX,fleet,2013-02-08
7,Golden Valley Tractor Co.,CA,dealer,2013-12-24
8,Central Valley Implement LLC,FL,dealer,2018-10-12
9,Blue Ridge Ag Supply Co.,TX,dealer,2013-04-26
10,Sierra Ag Partners LLC,NY,dealer,2018-01-22
11,Prairie Equipment LLC,FL,dealer,2019-05-26
12,Harvest Moon Implement LLC,NY,dealer,2019-05-12
13,Prairie Equipment Group,NY,dealer,2017-02-28
14,Cedar Creek Equipment Inc.,NY,dealer,2016-05-20
15,Cotton Belt Implement Co.,CA,dealer,2016-09-29
16,Finger Lakes Equipment Co.,IL,fleet,2012-11-29
17,Maple Ridge Equipment LLC,NY,dealer,2016-03-19
18,Big Sky Ag Supply Inc.,FL,co-op,2012-03-26
19,Prairie Implement Co.,TX,fleet,2014-11-26
20,Summit Equipment Group,NY,co-op,2013-10-01
21,Sandhill Ag Partners Group,NY,dealer,2012-10-24
22,Oak Hollow Ag Supply Co.,IL,fleet,2017-08-30
23,Cotton Belt Equipment Inc.,FL,dealer,2013-11-26
24,Blue Ridge Ag Partners LLC,CA,fleet,2018-10-15
25,Frontier Ag Partners Group,TX,dealer,2018-11-23
26,Prairie Ag Partners Group,NY,fleet,2012-01-30
27,Cedar Creek Farm Machinery Inc.,CA,dealer,2018-05-07
28,Summit Implement LLC,TX,co-op,2012-03-23
29,Twin Rivers Implement Co.,FL,dealer,2014-05-12
30,Twin Rivers Ag Supply LLC,CA,co-op,2013-07-27
31,Clearwater Tractor LLC,NY,dealer,2013-03-04
32,Gulf Coast Equipment Group,FL,dealer,2018-10-04
33,Sandhill Ag Supply Group,TX,dealer,2012-09-06
34,Finger Lakes Implement Group,TX,co-op,2014-02-19
35,Harvest Moon Farm Machinery Inc.,TX,fleet,2014-02-12
36,Finger Lakes Tractor Group,TX,fleet,2019-03-24
37,Wabash Tractor Inc.,CA,dealer,2017-03-07
38,Great Lakes Tractor Co.,IL,dealer,2016-12-04
39,Bayou Equipment Inc.,CA,dealer,2014-05-31
40,Blue Ridge Farm Machinery Co.,FL,dealer,2013-02-17
41,Riverbend Ag Supply Group,IL,dealer,2012-02-05
42,Golden Valley Farm Machinery Co.,FL,dealer,2016-10-26
43,Pioneer Implement Co.,CA,fleet,2018-04-19
44,Golden Valley Ag Supply LLC,CA,co-op,2019-01-28
45,Gulf Coast Equipment LLC,FL,fleet,2013-06-25
46,Palmetto Ag Supply LLC,CA,dealer,2016-02-26
47,Palmetto Tractor Co.,CA,dealer,2014-02-27
48,Heartland Implement LLC,CA,co-op,2016-08-16
49,Prairie Ag Supply Co.,CA,co-op,2017-11-11
50,Blue Ridge Implement Group,CA,dealer,2015-11-02
51,Red River Ag Partners Inc.,CA,co-op,2019-05-29
52,Riverbend Implement Group,NY,dealer,2016-08-11
53,Sierra Implement Group,CA,dealer,2017-11-12
54,Delta Tractor Co.,NY,dealer,2012-08-28
55,Heartland Equipment Co.,TX,co-op,2015-05-31
56,Lone Star Farm Machinery LLC,IL,fleet,2017-02-10
57,Delta Ag Partners Co.,FL,dealer,2013-09-11
58,Hudson Valley Tractor LLC,IL,dealer,2012-05-10
59,Sierra Ag Supply LLC,TX,fleet,2017-01-14
60,Blue Ridge Ag Supply Group,IL,dealer,2015-09-04
61,Cedar Creek Farm Machinery LLC,TX,dealer,2018-05-05
62,Mesa Equipment LLC,NY,dealer,2013-03-29
63,Frontier Tractor LLC,TX,co-op,2014-12-27
64,Cedar Creek Tractor Co.,TX,dealer,2016-12-01
