sku,warehouse,on_hand
ENG-100,CA,55
ENG-100,FL,54
ENG-100,IL,22
ENG-100,NY,48
ENG-100,TX,4
TRN-100,CA,57
TRN-100,FL,57
TRN-100,IL,23
TRN-100,NY,50
TRN-100,TX,5
HYD-100,CA,74
HYD-100,FL,73
HYD-100,IL,30
HYD-100,NY,65
HYD-100,TX,6
FAX-100,CA,33
FAX-100,FL,33
FAX-100,IL,13
FAX-100,NY,29
FAX-100,TX,3
RAX-100,CA,37
RAX-100,FL,36
RAX-100,IL,15
RAX-100,NY,32
RAX-100,TX,3
CAB-100,CA,65
CAB-100,FL,64
CAB-100,IL,26
CAB-100,NY,57
CAB-100,TX,5
ECU-100,CA,37
ECU-100,FL,37
ECU-100,IL,15
ECU-100,NY,32
ECU-100,TX,3
TIR-100,CA,58
TIR-100,FL,58
TIR-100,IL,23
TIR-100,NY,51
TIR-100,TX,5
PTO-100,CA,90
PTO-100,FL,89
PTO-100,IL,36
PTO-100,NY,79
PTO-100,TX,7
FUE-100,CA,45
FUE-100,FL,44
FUE-100,IL,18
FUE-100,NY,40
FUE-100,TX,4
ENG-200,CA,39
ENG-200,FL,20
ENG-200,IL,6
ENG-200,NY,14
ENG-200,TX,22
TRN-200,CA,98
TRN-200,FL,50
TRN-200,IL,14
TRN-200,NY,36
TRN-200,TX,55
HYD-200,CA,88
HYD-200,FL,45
HYD-200,IL,13
HYD-200,NY,33
HYD-200,TX,50
FAX-200,CA,81
FAX-200,FL,41
FAX-200,IL,12
FAX-200,NY,30
FAX-200,TX,46
RAX-200,CA,100
RAX-200,FL,51
RAX-200,IL,14
RAX-200,NY,37
RAX-200,TX,57
CAB-200,CA,67
CAB-200,FL,34
CAB-200,IL,10
CAB-200,NY,25
CAB-200,TX,38
ECU-200,CA,95
ECU-200,FL,48
ECU-200,IL,14
ECU-200,NY,35
ECU-200,TX,54
TIR-200,CA,79
TIR-200,FL,40
TIR-200,IL,11
TIR-200,NY,29
TIR-200,TX,45
PTO-200,CA,31
PTO-200,FL,16
PTO-200,IL,4
PTO-200,NY,11
PTO-200,TX,17
FUE-200,CA,64
FUE-200,FL,33
FUE-200,IL,9
FUE-200,NY,24
FUE-200,TX,36
ENG-300,CA,14
ENG-300,FL,2
ENG-300,IL,20
ENG-300,NY,12
ENG-300,TX,16
TRN-300,CA,29
TRN-300,FL,4
TRN-300,IL,41
TRN-300,NY,25
TRN-300,TX,32
HYD-300,CA,28
HYD-300,FL,4
HYD-300,IL,39
HYD-300,NY,24
HYD-300,TX,31
FAX-300,CA,43
FAX-300,FL,5
FAX-300,IL,61
FAX-300,NY,37
FAX-300,TX,48
RAX-300,CA,38
RAX-300,FL,5
RAX-300,IL,55
RAX-300,NY,33
RAX-300,TX,43
CAB-300,CA,45
CAB-300,FL,6
CAB-300,IL,64
CAB-300,NY,39
CAB-300,TX,50
ECU-300,CA,18
ECU-300,FL,2
ECU-300,IL,26
ECU-300,NY,16
ECU-300,TX,20
TIR-300,CA,48
TIR-300,FL,6
TIR-300,IL,68
TIR-300,NY,41
TIR-300,TX,53
PTO-300,CA,51
PTO-300,FL,6
PTO-300,IL,72
PTO-300,NY,44
PTO-300,TX,56
FUE-300,CA,32
FUE-300,FL,4
FUE-300,IL,46
FUE-300,NY,28
FUE-300,TX,36
ENG-400,CA,90
ENG-400,FL,55
ENG-400,IL,3
ENG-400,NY,74
ENG-400,TX,62
TRN-400,CA,42
TRN-400,FL,26
TRN-400,IL,2
TRN-400,NY,35
TRN-400,TX,29
HYD-400,CA,63
HYD-400,FL,39
HYD-400,IL,2
HYD-400,NY,52
HYD-400,TX,44
FAX-400,CA,38
FAX-400,FL,24
FAX-400,IL,1
FAX-400,NY,32
FAX-400,TX,27
RAX-400,CA,65
RAX-400,FL,40
RAX-400,IL,3
RAX-400,NY,54
RAX-400,TX,45
CAB-400,CA,49
CAB-400,FL,30
CAB-400,IL,2
CAB-400,NY,40
CAB-400,TX,34
ECU-400,CA,82
ECU-400,FL,51
ECU-400,IL,3
ECU-400,NY,68
ECU-400,TX,57
TIR-400,CA,55
TIR-400,FL,34
TIR-400,IL,2
TIR-400,NY,46
TIR-400,TX,38
PTO-400,CA,71
PTO-400,FL,44
PTO-400,IL,3
PTO-400,NY,59
PTO-400,TX,50
FUE-400,CA,54
FUE-400,FL,34
FUE-400,IL,2
FUE-400,NY,45
FUE-400,TX,38
ENG-500,CA,55
ENG-500,FL,51
ENG-500,IL,55
ENG-500,NY,5
ENG-500,TX,11
TRN-500,CA,26
TRN-500,FL,24
TRN-500,IL,26
TRN-500,NY,3
TRN-500,TX,5
HYD-500,CA,56
HYD-500,FL,52
HYD-500,IL,56
HYD-500,NY,6
HYD-500,TX,11
FAX-500,CA,22
FAX-500,FL,21
FAX-500,IL,23
FAX-500,NY,2
FAX-500,TX,5
RAX-500,CA,32
RAX-500,FL,30
RAX-500,IL,33
RAX-500,NY,3
RAX-500,TX,7
CAB-500,CA,41
CAB-500,FL,38
CAB-500,IL,41
CAB-500,NY,4
CAB-500,TX,8
ECU-500,CA,30
ECU-500,FL,28
ECU-500,IL,30
ECU-500,NY,3
ECU-500,TX,6
TIR-500,CA,38
TIR-500,FL,36
TIR-500,IL,38
TIR-500,NY,4
TIR-500,TX,8
PTO-500,CA,53
PTO-500,FL,49
PTO-500,IL,54
PTO-500,NY,5
PTO-500,TX,11
FUE-500,CA,55
FUE-500,FL,51
FUE-500,IL,55
FUE-500,NY,5
FUE-500,TX,11
