id,sku,supplier,warehouse,supply_order_id,quantity,received_date,broken_quantity,broken_date,broken_stage
1,ENG-100,Supplier B,FL,1,135,2022-09-30,7,2023-01-22,assembly
2,TRN-100,Supplier C,FL,2,127,2022-10-12,10,2023-02-09,assembly
3,HYD-100,Supplier E,TX,3,113,2022-10-09,10,2022-12-24,receiving
4,FAX-100,Supplier A,CA,4,127,2022-09-27,10,2022-12-09,field
5,RAX-100,Supplier D,FL,5,127,2022-09-26,10,2022-09-29,receiving
6,CAB-100,Supplier C,TX,6,133,2022-10-12,3,2023-01-17,receiving
7,ECU-100,Supplier A,NY,7,115,2022-10-16,9,2022-12-14,field
8,TIR-100,Supplier B,CA,8,127,2022-09-30,6,2023-01-20,assembly
9,PTO-100,Supplier D,NY,9,133,2022-10-18,9,2023-02-14,field
10,FUE-100,Supplier E,FL,10,120,2022-09-18,5,2022-11-10,field
11,ENG-200,Supplier A,TX,11,115,2022-10-17,6,2022-11-05,receiving
12,TRN-200,Supplier B,IL,12,137,2022-09-22,8,2022-12-23,receiving
13,HYD-200,Supplier E,NY,13,135,2022-10-20,18,2022-11-15,assembly
14,FAX-200,Supplier A,CA,14,121,2022-10-15,10,2022-12-01,assembly
15,RAX-200,Supplier B,CA,15,122,2022-09-30,4,2022-12-21,field
16,CAB-200,Supplier E,IL,16,113,2022-10-15,6,2022-10-20,receiving
17,ECU-200,Supplier A,IL,17,121,2022-09-30,6,2022-10-28,receiving
18,TIR-200,Supplier D,FL,18,132,2022-10-09,8,2022-11-14,field
19,PTO-200,Supplier C,IL,19,141,2022-10-11,7,2022-10-19,assembly
20,FUE-200,Supplier E,NY,20,129,2022-10-07,6,2022-11-07,receiving
21,ENG-300,Supplier D,CA,21,94,2022-10-15,3,2022-12-21,assembly
22,TRN-300,Supplier C,CA,22,87,2022-10-04,3,2022-12-14,field
23,HYD-300,Supplier E,CA,23,83,2022-09-29,16,2022-11-11,field
24,FAX-300,Supplier A,TX,24,91,2022-09-26,1,2022-12-27,field
25,RAX-300,Supplier B,NY,25,89,2022-09-23,6,2022-12-24,field
26,CAB-300,Supplier C,IL,26,90,2022-10-10,4,2022-12-16,receiving
27,ECU-300,Supplier C,TX,27,97,2022-10-16,5,2022-10-28,receiving
28,TIR-300,Supplier B,FL,28,89,2022-10-08,4,2022-11-19,receiving
29,PTO-300,Supplier C,TX,29,89,2022-10-17,4,2022-10-31,receiving
30,FUE-300,Supplier A,TX,30,76,2022-09-30,5,2022-10-19,assembly
31,ENG-400,Supplier A,TX,31,117,2022-09-29,0,,
32,TRN-400,Supplier B,TX,32,107,2022-09-30,11,2023-01-01,receiving
33,HYD-400,Supplier E,TX,33,111,2022-10-15,18,2022-12-12,assembly
34,FAX-400,Supplier D,TX,34,108,2022-09-22,3,2023-01-07,field
35,RAX-400,Supplier B,CA,35,104,2022-10-08,7,2023-01-16,field
36,CAB-400,Supplier C,IL,36,132,2022-10-06,11,2022-11-05,assembly
37,ECU-400,Supplier A,TX,37,110,2022-10-13,6,2022-12-27,field
38,TIR-400,Supplier D,FL,38,109,2022-10-11,9,2022-12-13,assembly
39,PTO-400,Supplier C,TX,39,125,2022-09-20,6,2022-11-20,receiving
40,FUE-400,Supplier E,CA,40,112,2022-10-17,8,2022-12-05,assembly
41,ENG-500,Supplier A,NY,41,121,2022-10-15,4,2023-01-23,assembly
42,TRN-500,Supplier C,FL,42,122,2022-10-04,5,2022-10-27,field
43,HYD-500,Supplier E,TX,43,123,2022-10-15,10,2022-12-30,receiving
44,FAX-500,Supplier A,TX,44,125,2022-09-19,3,2022-12-25,receiving
45,RAX-500,Supplier B,TX,45,117,2022-09-19,9,2022-10-05,receiving
46,CAB-500,Supplier C,IL,46,116,2022-10-19,3,2023-01-10,field
47,ECU-500,Supplier A,NY,47,125,2022-10-13,7,2022-12-04,receiving
48,TIR-500,Supplier D,NY,48,122,2022-10-06,5,2023-01-17,field
49,PTO-500,Supplier D,FL,49,123,2022-09-21,12,2022-10-25,receiving
50,FUE-500,Supplier A,NY,50,128,2022-10-02,1,2022-11-23,assembly
51,ENG-100,Supplier A,CA,51,69,2022-11-08,2,2023-01-27,field
52,TRN-100,Supplier B,NY,52,66,2022-10-26,6,2022-12-07,receiving
53,HYD-100,Supplier C,NY,53,74,2022-10-23,4,2022-12-20,assembly
54,FAX-100,Supplier A,NY,54,75,2022-10-29,5,2023-01-18,assembly
55,RAX-100,Supplier D,FL,55,78,2022-11-16,5,2022-12-20,field
56,CAB-100,Supplier E,IL,56,69,2022-11-06,0,,
57,ECU-100,Supplier A,IL,57,84,2022-11-19,2,2023-01-15,assembly
58,TIR-100,Supplier D,TX,58,77,2022-10-30,4,2023-01-12,assembly
59,PTO-100,Supplier D,CA,59,80,2022-10-31,4,2023-02-02,assembly
60,FUE-100,Supplier E,TX,60,77,2022-11-11,3,2022-11-16,assembly
61,ENG-200,Supplier A,TX,61,117,2022-11-10,4,2022-12-30,assembly
62,TRN-200,Supplier C,IL,62,106,2022-10-29,0,,
63,HYD-200,Supplier E,IL,63,100,2022-11-21,7,2023-03-10,field
64,FAX-200,Supplier A,NY,64,112,2022-10-21,7,2022-12-18,assembly
65,RAX-200,Supplier D,CA,65,110,2022-11-02,4,2022-12-13,field
66,CAB-200,Supplier C,TX,66,107,2022-11-16,6,2022-12-09,assembly
67,ECU-200,Supplier A,TX,67,120,2022-10-21,6,2023-02-01,assembly
68,TIR-200,Supplier B,CA,68,103,2022-10-31,7,2022-12-28,field
69,PTO-200,Supplier D,TX,69,101,2022-11-14,7,2022-12-21,field
70,FUE-200,Supplier B,CA,70,103,2022-10-17,5,2022-12-09,field
71,ENG-300,Supplier A,NY,71,65,2022-10-23,3,2023-01-26,field
72,TRN-300,Supplier B,IL,72,64,2022-10-29,3,2023-02-25,receiving
73,HYD-300,Supplier A,IL,73,67,2022-11-06,0,,
74,FAX-300,Supplier A,IL,74,73,2022-10-25,5,2023-01-02,receiving
75,RAX-300,Supplier D,IL,75,68,2022-11-04,3,2023-01-11,receiving
76,CAB-300,Supplier E,NY,76,73,2022-11-22,3,2022-11-27,field
77,ECU-300,Supplier A,FL,77,72,2022-11-12,7,2023-03-07,field
78,TIR-300,Supplier D,IL,78,65,2022-11-16,4,2023-03-01,assembly
79,PTO-300,Supplier C,TX,79,66,2022-11-09,6,2022-11-22,receiving
80,FUE-300,Supplier E,TX,80,71,2022-11-19,9,2023-03-01,receiving
81,ENG-400,Supplier A,NY,81,101,2022-10-24,6,2023-02-08,receiving
82,TRN-400,Supplier C,TX,82,118,2022-10-27,14,2023-02-15,receiving
83,HYD-400,Supplier E,TX,83,108,2022-10-28,17,2023-02-21,field
84,FAX-400,Supplier D,FL,84,125,2022-11-11,0,,
85,RAX-400,Supplier D,TX,85,109,2022-12-03,5,2023-02-12,field
86,CAB-400,Supplier E,CA,86,109,2022-11-10,3,2023-01-28,assembly
87,ECU-400,Supplier C,FL,87,111,2022-11-22,3,2022-12-28,field
88,TIR-400,Supplier D,CA,88,106,2022-11-29,6,2022-12-13,receiving
89,PTO-400,Supplier C,NY,89,104,2022-10-30,3,2022-12-22,field
90,FUE-400,Supplier A,TX,90,103,2022-10-23,5,2023-01-15,assembly
91,ENG-500,Supplier A,IL,91,96,2022-10-22,7,2023-01-23,assembly
92,TRN-500,Supplier C,NY,92,85,2022-11-07,2,2022-12-02,assembly
93,HYD-500,Supplier E,NY,93,99,2022-11-03,8,2022-11-22,receiving
94,FAX-500,Supplier D,IL,94,87,2022-10-25,2,2022-12-09,receiving
95,RAX-500,Supplier D,FL,95,96,2022-11-13,4,2022-12-11,assembly
96,CAB-500,Supplier E,NY,96,93,2022-11-11,1,2022-12-11,receiving
97,ECU-500,Supplier A,CA,97,92,2022-11-08,3,2022-12-09,receiving
98,TIR-500,Supplier B,CA,98,89,2022-11-05,4,2022-12-19,assembly
99,PTO-500,Supplier D,FL,99,88,2022-11-05,4,2022-12-15,assembly
100,FUE-500,Supplier A,TX,100,86,2022-10-22,7,2022-12-27,field
101,ENG-100,Supplier D,TX,101,89,2022-11-30,10,2023-01-27,field
102,TRN-100,Supplier B,IL,102,85,2022-11-24,5,2023-01-10,field
103,HYD-100,Supplier E,FL,103,82,2022-12-10,13,2023-03-12,assembly
104,FAX-100,Supplier D,IL,104,84,2022-12-30,5,2023-04-11,assembly
105,RAX-100,Supplier D,NY,105,77,2022-11-24,2,2022-11-30,field
106,CAB-100,Supplier C,TX,106,82,2022-12-03,3,2023-03-15,field
107,ECU-100,Supplier C,NY,107,90,2022-11-30,6,2022-12-06,assembly
108,TIR-100,Supplier D,IL,108,75,2022-12-18,5,2022-12-31,assembly
109,PTO-100,Supplier D,CA,109,82,2022-12-12,5,2023-03-02,assembly
110,FUE-100,Supplier E,CA,110,87,2022-12-17,3,2023-01-07,assembly
111,ENG-200,Supplier B,IL,111,84,2022-11-20,5,2023-02-20,field
112,TRN-200,Supplier E,NY,112,85,2022-12-15,4,2023-04-09,receiving
113,HYD-200,Supplier E,FL,113,85,2022-12-04,14,2023-03-03,assembly
114,FAX-200,Supplier D,CA,114,81,2022-11-27,4,2023-03-01,receiving
115,RAX-200,Supplier B,NY,115,81,2022-12-01,4,2023-01-31,assembly
116,CAB-200,Supplier E,CA,116,85,2022-12-01,5,2022-12-16,assembly
117,ECU-200,Supplier C,TX,117,76,2022-12-01,4,2023-02-01,assembly
118,TIR-200,Supplier B,FL,118,88,2022-12-08,7,2023-01-16,field
119,PTO-200,Supplier D,FL,119,88,2022-12-05,3,2023-03-20,field
120,FUE-200,Supplier A,IL,120,90,2022-11-22,5,2023-01-10,receiving
121,ENG-300,Supplier A,TX,121,79,2022-12-14,5,2022-12-30,receiving
122,TRN-300,Supplier B,NY,122,90,2022-11-26,4,2023-03-21,receiving
123,HYD-300,Supplier E,IL,123,87,2022-12-06,10,2023-04-04,receiving
124,FAX-300,Supplier D,CA,124,78,2022-12-24,5,2023-04-04,assembly
125,RAX-300,Supplier B,TX,125,83,2022-11-27,5,2023-03-14,field
126,CAB-300,Supplier E,NY,126,90,2022-11-21,5,2023-02-13,receiving
127,ECU-300,Supplier A,IL,127,94,2022-11-22,9,2023-03-02,assembly
128,TIR-300,Supplier B,TX,128,82,2022-12-04,4,2023-03-22,field
129,PTO-300,Supplier C,CA,129,86,2022-11-22,2,2022-12-22,assembly
130,FUE-300,Supplier A,CA,130,86,2022-11-20,4,2023-01-06,field
131,ENG-400,Supplier B,IL,131,69,2022-12-03,3,2023-03-14,receiving
132,TRN-400,Supplier B,FL,132,68,2022-12-02,6,2023-02-04,receiving
133,HYD-400,Supplier C,NY,133,71,2022-11-28,6,2023-02-21,assembly
134,FAX-400,Supplier A,FL,134,64,2022-12-06,2,2023-02-26,assembly
135,RAX-400,Supplier B,TX,135,65,2022-11-27,0,,
136,CAB-400,Supplier C,TX,136,58,2022-12-08,3,2022-12-24,receiving
137,ECU-400,Supplier A,FL,137,64,2022-12-12,4,2023-01-12,assembly
138,TIR-400,Supplier B,CA,138,56,2022-12-11,4,2023-02-26,assembly
139,PTO-400,Supplier C,TX,139,60,2022-12-12,0,,
140,FUE-400,Supplier A,TX,140,67,2022-12-12,6,2023-03-01,assembly
141,ENG-500,Supplier D,TX,141,105,2022-12-30,4,2023-01-05,assembly
142,TRN-500,Supplier C,FL,142,84,2022-12-06,5,2023-02-14,field
143,HYD-500,Supplier C,TX,143,103,2022-12-14,5,2023-02-03,receiving
144,FAX-500,Supplier D,CA,144,98,2022-11-29,7,2023-03-14,receiving
145,RAX-500,Supplier D,NY,145,94,2022-12-21,4,2023-03-31,assembly
146,CAB-500,Supplier E,FL,146,98,2022-12-11,5,2023-03-19,assembly
147,ECU-500,Supplier E,IL,147,88,2022-12-19,4,2022-12-25,receiving
148,TIR-500,Supplier D,TX,148,92,2022-11-29,8,2023-03-12,assembly
149,PTO-500,Supplier C,IL,149,87,2022-11-22,1,2023-01-31,field
150,FUE-500,Supplier A,FL,150,88,2022-12-17,4,2023-03-06,receiving
151,ENG-100,Supplier B,TX,151,127,2022-12-30,6,2023-03-09,assembly
152,TRN-100,Supplier B,NY,152,131,2022-12-28,5,2023-04-15,receiving
153,HYD-100,Supplier A,NY,153,137,2023-01-10,5,2023-04-10,assembly
154,FAX-100,Supplier D,TX,154,130,2022-12-31,10,2023-01-12,field
155,RAX-100,Supplier D,FL,155,142,2023-02-06,3,2023-02-23,field
156,CAB-100,Supplier C,IL,156,128,2023-01-08,9,2023-02-09,receiving
157,ECU-100,Supplier E,NY,157,128,2023-01-02,7,2023-01-29,field
