sku,supplier,unit_price,nominal_lead_days
ENG-100,Supplier A,4480,35
ENG-100,Supplier B,4793.6,38
ENG-100,Supplier D,4256,41
TRN-100,Supplier B,2996,30
TRN-100,Supplier C,2772,33
TRN-100,Supplier E,2716,36
HYD-100,Supplier C,970.2,21
HYD-100,Supplier E,950.6,24
HYD-100,Supplier A,980,27
FAX-100,Supplier D,1064,25
FAX-100,Supplier A,1120,28
RAX-100,Supplier D,1330,25
RAX-100,Supplier B,1498,28
CAB-100,Supplier E,1901.2,28
CAB-100,Supplier C,1940.4,31
ECU-100,Supplier A,420,18
ECU-100,Supplier C,415.8,21
ECU-100,Supplier E,407.4,24
TIR-100,Supplier B,749,14
TIR-100,Supplier D,665,17
PTO-100,Supplier C,554.4,21
PTO-100,Supplier D,532,24
FUE-100,Supplier E,325.92,16
FUE-100,Supplier A,336,19
FUE-100,Supplier B,359.52,22
ENG-200,Supplier A,9280,35
ENG-200,Supplier B,9929.6,38
ENG-200,Supplier D,8816,41
TRN-200,Supplier B,6206,30
TRN-200,Supplier C,5742,33
TRN-200,Supplier E,5626,36
HYD-200,Supplier C,2009.7,21
HYD-200,Supplier E,1969.1,24
HYD-200,Supplier A,2030,27
FAX-200,Supplier D,2204,25
FAX-200,Supplier A,2320,28
RAX-200,Supplier D,2755,25
RAX-200,Supplier B,3103,28
CAB-200,Supplier E,3938.2,28
CAB-200,Supplier C,4019.4,31
ECU-200,Supplier A,870,18
ECU-200,Supplier C,861.3,21
ECU-200,Supplier E,843.9,24
TIR-200,Supplier B,1551.5,14
TIR-200,Supplier D,1377.5,17
PTO-200,Supplier C,1148.4,21
PTO-200,Supplier D,1102,24
FUE-200,Supplier E,675.12,16
FUE-200,Supplier A,696,19
FUE-200,Supplier B,744.72,22
ENG-300,Supplier A,23200,35
ENG-300,Supplier B,24824,38
ENG-300,Supplier D,22040,41
TRN-300,Supplier B,15515,30
TRN-300,Supplier C,14355,33
TRN-300,Supplier E,14065,36
HYD-300,Supplier C,5024.25,21
HYD-300,Supplier E,4922.75,24
HYD-300,Supplier A,5075,27
FAX-300,Supplier D,5510,25
FAX-300,Supplier A,5800,28
RAX-300,Supplier D,6887.5,25
RAX-300,Supplier B,7757.5,28
CAB-300,Supplier E,9845.5,28
CAB-300,Supplier C,10048.5,31
ECU-300,Supplier A,2175,18
ECU-300,Supplier C,2153.25,21
ECU-300,Supplier E,2109.75,24
TIR-300,Supplier B,3878.75,14
TIR-300,Supplier D,3443.75,17
PTO-300,Supplier C,2871,21
PTO-300,Supplier D,2755,24
FUE-300,Supplier E,1687.8,16
FUE-300,Supplier A,1740,19
FUE-300,Supplier B,1861.8,22
ENG-400,Supplier A,42400,35
ENG-400,Supplier B,45368,38
ENG-400,Supplier D,40280,41
TRN-400,Supplier B,28355,30
TRN-400,Supplier C,26235,33
TRN-400,Supplier E,25705,36
HYD-400,Supplier C,9182.25,21
HYD-400,Supplier E,8996.75,24
HYD-400,Supplier A,9275,27
FAX-400,Supplier D,10070,25
FAX-400,Supplier A,10600,28
RAX-400,Supplier D,12587.5,25
RAX-400,Supplier B,14177.5,28
CAB-400,Supplier E,17993.5,28
CAB-400,Supplier C,18364.5,31
ECU-400,Supplier A,3975,18
ECU-400,Supplier C,3935.25,21
ECU-400,Supplier E,3855.75,24
TIR-400,Supplier B,7088.75,14
TIR-400,Supplier D,6293.75,17
PTO-400,Supplier C,5247,21
PTO-400,Supplier D,5035,24
FUE-400,Supplier E,3084.6,16
FUE-400,Supplier A,3180,19
FUE-400,Supplier B,3402.6,22
ENG-500,Supplier A,76800,35
ENG-500,Supplier B,82176,38
ENG-500,Supplier D,72960,41
TRN-500,Supplier B,51360,30
TRN-500,Supplier C,47520,33
TRN-500,Supplier E,46560,36
HYD-500,Supplier C,16632,21
HYD-500,Supplier E,16296,24
HYD-500,Supplier A,16800,27
FAX-500,Supplier D,18240,25
FAX-500,Supplier A,19200,28
RAX-500,Supplier D,22800,25
RAX-500,Supplier B,25680,28
CAB-500,Supplier E,32592,28
CAB-500,Supplier C,33264,31
ECU-500,Supplier A,7200,18
ECU-500,Supplier C,7128,21
ECU-500,Supplier E,6984,24
TIR-500,Supplier B,12840,14
TIR-500,Supplier D,11400,17
PTO-500,Supplier C,9504,21
PTO-500,Supplier D,9120,24
FUE-500,Supplier E,5587.2,16
FUE-500,Supplier A,5760,19
FUE-500,Supplier B,6163.2,22
