id,sku,supplier,warehouse,quantity,unit_price,date_ordered,promised_date,fulfilled_date,status
1,ENG-100,Supplier B,FL,135,4793.6,2022-08-14,2022-09-21,2022-09-30,fulfilled
2,TRN-100,Supplier C,FL,127,2772,2022-08-23,2022-09-25,2022-10-12,fulfilled
3,HYD-100,Supplier E,TX,113,950.6,2022-08-31,2022-09-24,2022-10-09,fulfilled
4,FAX-100,Supplier A,CA,127,1120,2022-08-20,2022-09-17,2022-09-27,fulfilled
5,RAX-100,Supplier D,FL,127,1330,2022-08-30,2022-09-24,2022-09-26,fulfilled
6,CAB-100,Supplier C,TX,133,1940.4,2022-08-22,2022-09-22,2022-10-12,fulfilled
7,ECU-100,Supplier A,NY,115,420,2022-09-08,2022-09-26,2022-10-16,fulfilled
8,TIR-100,Supplier B,CA,127,749,2022-09-12,2022-09-26,2022-09-30,fulfilled
9,PTO-100,Supplier D,NY,133,532,2022-08-27,2022-09-20,2022-10-18,fulfilled
10,FUE-100,Supplier E,FL,120,325.92,2022-09-01,2022-09-17,2022-09-18,fulfilled
11,ENG-200,Supplier A,TX,115,9280,2022-08-19,2022-09-23,2022-10-17,fulfilled
12,TRN-200,Supplier B,IL,137,6206,2022-08-18,2022-09-17,2022-09-22,fulfilled
13,HYD-200,Supplier E,NY,135,1969.1,2022-08-30,2022-09-23,2022-10-20,fulfilled
14,FAX-200,Supplier A,CA,121,2320,2022-08-20,2022-09-17,2022-10-15,fulfilled
15,RAX-200,Supplier B,CA,122,3103,2022-08-28,2022-09-25,2022-09-30,fulfilled
16,CAB-200,Supplier E,IL,113,3938.2,2022-08-29,2022-09-26,2022-10-15,fulfilled
17,ECU-200,Supplier A,IL,121,870,2022-09-08,2022-09-26,2022-09-30,fulfilled
18,TIR-200,Supplier D,FL,132,1377.5,2022-09-05,2022-09-22,2022-10-09,fulfilled
19,PTO-200,Supplier C,IL,141,1148.4,2022-08-28,2022-09-18,2022-10-11,fulfilled
20,FUE-200,Supplier E,NY,129,675.12,2022-09-05,2022-09-21,2022-10-07,fulfilled
21,ENG-300,Supplier D,CA,94,22040,2022-08-14,2022-09-24,2022-10-15,fulfilled
22,TRN-300,Supplier C,CA,87,14355,2022-08-22,2022-09-24,2022-10-04,fulfilled
23,HYD-300,Supplier E,CA,83,4922.75,2022-09-01,2022-09-25,2022-09-29,fulfilled
24,FAX-300,Supplier A,TX,91,5800,2022-08-29,2022-09-26,2022-09-26,fulfilled
25,RAX-300,Supplier B,NY,89,7757.5,2022-08-21,2022-09-18,2022-09-23,fulfilled
26,CAB-300,Supplier C,IL,90,10048.5,2022-08-20,2022-09-20,2022-10-10,fulfilled
27,ECU-300,Supplier C,TX,97,2153.25,2022-08-31,2022-09-21,2022-10-16,fulfilled
28,TIR-300,Supplier B,FL,89,3878.75,2022-09-07,2022-09-21,2022-10-08,fulfilled
29,PTO-300,Supplier C,TX,89,2871,2022-09-04,2022-09-25,2022-10-17,fulfilled
30,FUE-300,Supplier A,TX,76,1740,2022-08-28,2022-09-16,2022-09-30,fulfilled
31,ENG-400,Supplier A,TX,117,42400,2022-08-14,2022-09-18,2022-09-29,fulfilled
32,TRN-400,Supplier B,TX,107,28355,2022-08-27,2022-09-26,2022-09-30,fulfilled
33,HYD-400,Supplier E,TX,111,8996.75,2022-08-29,2022-09-22,2022-10-15,fulfilled
34,FAX-400,Supplier D,TX,108,10070,2022-08-27,2022-09-21,2022-09-22,fulfilled
35,RAX-400,Supplier B,CA,104,14177.5,2022-08-28,2022-09-25,2022-10-08,fulfilled
36,CAB-400,Supplier C,IL,132,18364.5,2022-08-17,2022-09-17,2022-10-06,fulfilled
37,ECU-400,Supplier A,TX,110,3975,2022-09-03,2022-09-21,2022-10-13,fulfilled
38,TIR-400,Supplier D,FL,109,6293.75,2022-09-08,2022-09-25,2022-10-11,fulfilled
39,PTO-400,Supplier C,TX,125,5247,2022-08-28,2022-09-18,2022-09-20,fulfilled
40,FUE-400,Supplier E,CA,112,3084.6,2022-09-02,2022-09-18,2022-10-17,fulfilled
